name,year,budget,gross,adjusted_budget,adjusted_gross
Gold,2016,20000000,7222964,21566954,7788867
The Choice,2016,0,18709066,0,20174879
Middle School: The Worst Years of My Life,2016,8500000,19985196,9165956,21550990
Midnight Special,2016,18000000,3707794,19410259,3998291
A Monster Calls,2016,43000000,3730982,46368952,4023296
The Brothers Grimsby,2016,35000000,6864016,37742170,7401796
Pride and Prejudice and Zombies,2016,28000000,10907291,30193736,11761852
Mike and Dave Need Wedding Dates,2016,33000000,46007113,35585475,49611665
Snowden,2016,40000000,21587519,43133909,23278852
The Boy,2016,8000000,35794166,8626782,38598557
Miracles from Heaven,2016,13000000,61693523,14018520,66527070
D�a del atentado,2016,45000000,31886361,48525647,34384585
The Boss,2016,29000000,63034755,31272084,67973384
Arrival,2016,47000000,100546139,50682343,108423699
Gods of Egypt,2016,140000000,31153464,150968680,33594267
Warcraft: The Beginning,2016,160000000,47365290,172535634,51076252
Everybody Wants Some!!,2016,10000000,3369431,10783477,3633418
The Birth of a Nation,2016,8500000,15858754,9165956,17101251
Presencia siniestra,2016,10000000,6883951,10783477,7423293
Goat,2016,0,23020,0,24824
Miss Peregrine's Home for Peculiar Children,2016,110000000,87242834,118618249,94078111
War Dogs,2016,40000000,43017433,43133909,46387751
Sola contra el poder,2016,13000000,3439171,14018520,3708622
Deadpool,2016,58000000,363070709,62544167,391516469
Moana,2016,150000000,248757044,161752157,268246590
The Belko Experiment,2016,5000000,10164675,5391739,10961054
Mi pap� es un gato,2016,30000000,19637449,32350431,21175998
Sleight,2016,250000,3847290,269587,4148716
Money Monster,2016,27000000,41012075,29115388,44225277
The Comedian,2016,15000000,1658706,16175216,1788662
Captain Fantastic,2016,0,5875006,0,6335299
Hasta el �ltimo hombre,2016,40000000,67115062,43133909,72373374
Loving,2016,9000000,7696098,9705129,8299070
Lowriders,2016,0,6155650,0,6637931
Paris Can Wait,2016,5000000,5300675,5391739,5715971
Sing street; este es tu momento,2016,0,3233839,0,3487203
The Disappointments Room,2016,15000000,2411580,16175216,2600522
A Hologram for the King,2016,30000000,4198126,32350431,4527040
Denial,2016,10000000,4072226,10783477,4391276
The Darkness,2016,4000000,10732841,4313391,11573735
Manchester by the Sea,2016,8500000,47695120,9165956,51431924
Central Intelligence,2016,50000000,127440871,53917386,137425572
Manos de piedra,2016,20000000,4711736,21566954,5080890
"Hail, Caesar!",2016,22000000,30080225,23723650,32436942
Certain Women,2016,0,1032942,0,1113871
Maudie,2016,0,6139048,0,6620028
Max Steel,2016,10000000,3771397,10783477,4066877
Me Before You,2016,20000000,56245075,21566954,60651748
Assassin's Creed,2016,125000000,54645723,134793464,58927091
The Conjuring 2,2016,40000000,102470008,43133909,110498299
Meet the Blacks,2016,900000,9093856,970513,9806339
The Bad Batch,2016,6000000,177680,6470086,191601
Love & Friendship,2016,3000000,14013564,3235043,15111495
Nerve,2016,20000000,38562379,21566954,41583653
Fantastic Beasts and Where to Find Them,2016,180000000,234037575,194102589,252373884
Free State of Jones,2016,50000000,20758378,53917386,22384749
Free Fire,2016,10000000,1798472,10783477,1939378
Pete's Dragon,2016,65000000,76204454,70092601,82174899
Frantz,2016,0,880474,0,949457
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,135000000,82051601,145576942,88480156
Pet,2016,0,70,0,75
Personal Shopper,2016,6000000,1305195,6470086,1407454
Their Finest,2016,0,3595841,0,3877567
Nocturnal Animals,2016,22500000,10639114,24262824,11472664
Criminal,2016,31500000,14268533,33967953,15386440
Absolutely Fabulous: The Movie,2016,0,4750497,0,5122688
Norman,2016,0,3810812,0,4109380
Storks,2016,70000000,72655779,75484340,78348193
Office Christmas Party,2016,45000000,54730514,48525647,59018525
Florence Foster Jenkins,2016,29000000,27370107,31272084,29514492
Ouija: Origin of Evil,2016,9000000,34904885,9705129,37639603
Swiss Army Man,2016,3000000,4208879,3235043,4538635
Our Kind of Traitor,2016,0,3152725,0,3399734
Paterson,2016,0,2141423,0,2309199
Sully,2016,60000000,125070033,64700863,134868984
Suicide Squad,2016,175000000,325100054,188710850,350570900
Finding Dory,2016,200000000,486295561,215669543,524395707
Anthropoid,2016,0,2959288,0,3191141
Neruda,2016,0,938875,0,1012434
Monster Trucks,2016,125000000,33370166,134793464,35984642
Neighbors 2: Sorority Rising,2016,35000000,55291815,37742170,59623802
Ghostbusters,2016,144000000,128344089,155282071,138399555
Moonlight,2016,1500000,27850912,1617522,30032967
Morgan,2016,8000000,3912052,8626782,4218552
Popstar: Never Stop Never Stopping,2016,20000000,9393835,21566954,10129821
Mother's Day,2016,25000000,32463917,26958693,35007391
Wakefield,2016,0,259412,0,279736
Mothers and Daughters,2016,0,28368,0,30591
Mr. Church,2016,8000000,685143,8626782,738822
The BFG,2016,140000000,55483770,150968680,59830797
Split,2016,9000000,138141585,9705129,148964663
The Angry Birds Movie,2016,73000000,107509366,78719383,115932479
Genius,2016,0,1358018,0,1464416
Collateral Beauty,2016,36000000,30982955,38820518,33410399
Collide,2016,21500000,2280004,23184476,2458637
A United Kingdom,2016,14000000,3901302,15096868,4206960
My Big Fat Greek Wedding 2,2016,18000000,59573085,19410259,64240500
The Accountant,2016,44000000,86198014,47447299,92951431
Complete Unknown,2016,0,166827,0,179898
The 5th Wave,2016,38000000,34912982,40977213,37648334
From the Land of the Moon,2016,0,37757,0,40715
Star Trek Beyond,2016,185000000,158848340,199494327,171293744
Underworld: Blood Wars,2016,35000000,30348260,37742170,32725977
Captain America: Civil War,2016,250000000,408084349,269586929,440056825
Whiskey Tango Foxtrot,2016,35000000,23049575,37742170,24855457
Hunt for the Wilderpeople,2016,0,5202582,0,5610192
"I, Daniel Blake",2016,0,258168,0,278395
20th Century Women,2016,7000000,5663855,7548434,6107605
The Light Between Oceans,2016,20000000,12545979,21566954,13528928
The Legend of Tarzan,2016,180000000,126643061,194102589,136565255
American Honey,2016,0,662786,0,714714
Almost Christmas,2016,17000000,41715860,18331911,44984202
Allied,2016,85000000,40069087,91659556,43208408
Allegiant,2016,110000000,66002193,118618249,71173314
Sausage Party,2016,19000000,97661826,20488607,105313407
Bleed for This,2016,6000000,4847865,6470086,5227684
The Jungle Book,2016,175000000,364001123,188710850,392519779
Your name,2016,0,5017246,0,5410336
Keanu,2016,15000000,20566327,16175216,22177652
31,2016,1500000,779820,1617522,840917
Resident Evil: The Final Chapter,2016,40000000,26830068,43133909,28932143
Keeping Up with the Joneses,2016,40000000,14896798,43133909,16063928
El beb� de Bridget Jones,2016,35000000,24252420,37742170,26152542
El cliente,2016,0,3402067,0,3668611
El demonio ne�n,2016,7000000,1333124,7548434,1437571
How to Be Single,2016,38000000,46813366,40977213,50481086
The Edge of Seventeen,2016,9000000,14260193,9705129,15377447
Bad Santa 2,2016,26000000,17664973,28037041,19048983
The Infiltrator,2016,28000000,15425870,30193736,16634452
The Huntsman: Winter's War,2016,115000000,47952020,124009987,51708951
Bad Moms,2016,20000000,113257297,21566954,122130747
Billy Lynn's Long Halftime Walk,2016,40000000,1721524,43133909,1856401
The Lost City of Z,2016,30000000,8574339,32350431,9246119
Ice Age: Collision Course,2016,105000000,64063008,113226510,69082198
Inferno,2016,75000000,34343574,80876079,37034315
Risen,2016,20000000,36874745,21566954,39763797
Indignation,2016,0,3399841,0,3666211
10 Cloverfield Lane,2016,15000000,71897215,16175216,77530197
Independence Day: Resurgence,2016,165000000,103144286,177927373,111225405
The Other Side of the Door,2016,0,2987063,0,3221093
Incarnate,2016,5000000,4790573,5391739,5165903
Zootopia,2016,150000000,341268248,161752157,368005835
Ben-Hur,2016,100000000,26384681,107834771,28451860
Triple 9,2016,20000000,12626905,21566954,13616194
The Nice Guys,2016,50000000,36261763,53917386,39102789
Rogue One,2016,200000000,532177324,215669543,573872201
The Purge: Election Year,2016,10000000,79003080,10783477,85192791
In a Valley of Violence,2016,0,50381,0,54328
Zoolander 2,2016,50000000,28848693,53917386,31108922
13 Hours,2016,50000000,52853219,53917386,56994148
Eddie the Eagle,2016,23000000,15785632,24801997,17022400
Trolls,2016,125000000,153707064,134793464,165749661
Rules Don't Apply,2016,25000000,3647836,26958693,3933636
Jack Reacher: Sin regreso,2016,60000000,58399160,64700863,62974601
The Magnificent Seven,2016,90000000,93381044,97051294,100697235
Jackie,2016,9000000,13958679,9705129,15052310
Batman: The Killing Joke,2016,3500000,3775000,3774217,4070763
Batman v Superman: Dawn of Justice,2016,250000000,330360194,269586929,356243160
Jason Bourne,2016,120000000,162434410,129401726,175160775
Boo! A Madea Halloween,2016,20000000,73159525,21566954,78891407
Kingsglaive: Final Fantasy XV,2016,0,233569,0,251869
Leap!,2016,30000000,12760985,32350431,13760779
Dirty Grandpa,2016,27500000,35537564,29654562,38321851
The Founder,2016,25000000,12785093,26958693,13786776
The Forest,2016,10000000,26583369,10783477,28666115
El especialista: La resurrecci�n,2016,40000000,21203260,43133909,22864487
Hidden Figures,2016,25000000,169380936,26958693,182651545
The Finest Hours,2016,80000000,27550735,86267817,29709272
Ella es un monstruo,2016,0,3021345,0,3258060
Caf� Society,2016,30000000,11103205,32350431,11973116
Lights Out,2016,4900000,67235683,5283904,72503445
Silence,2016,46000000,7079191,49603995,7633829
Lion,2016,12000000,51694854,12940173,55745028
Hell or High Water,2016,12000000,26862450,12940173,28967062
The Eyes of My Mother,2016,0,25981,0,28017
A Cure for Wellness,2016,40000000,8106986,43133909,8742150
The Take,2016,20000000,39000,21566954,42056
Live by Night,2016,108000000,10377558,116461553,11190616
Why Him?,2016,38000000,60269575,40977213,64991558
The Exception,2016,0,606989,0,654545
London Has Fallen,2016,60000000,62524260,64700863,67422893
Alice Through the Looking Glass,2016,170000000,77042381,183319112,83078475
Los ilusionistas 2,2016,90000000,65075540,97051294,70174060
Toni Erdmann,2016,0,1478960,0,1594833
Fences,2016,24000000,57642961,25880345,62159155
La La Land,2016,30000000,151101803,32350431,162940284
El fin del sue�o americano,2016,0,541457,0,583879
La bruja de Blair,2016,5000000,20747013,5391739,22372494
The Great Wall,2016,150000000,45157105,161752157,48695061
Doctor Strange,2016,165000000,232641920,177927373,250868883
La tortuga roja,2016,0,920057,0,992141
Don't Breathe,2016,9900000,89210468,10675642,96199904
Kung Fu Panda 3,2016,145000000,143528619,156360419,154773758
X-Men: Apocalypse,2016,178000000,155442489,191945893,167621053
La vida secreta de tus mascotas,2016,75000000,368384330,80876079,397246400
Horizonte profundo,2016,110000000,61284947,118618249,66086483
Lady Macbeth,2016,0,1007759,0,1086715
The Girl on the Train,2016,45000000,75311445,48525647,81211925
The Hollars,2016,3800000,1016872,4097721,1096542
Kubo and the Two Strings,2016,60000000,48023088,64700863,51785587
The Shallows,2016,17000000,55121623,18331911,59440276
Sinister 2,2015,10000000,27736779,10919512,30287209
Straight Outta Compton,2015,28000000,161197785,30574634,176020116
Desierto,2015,3000000,1828933,3275854,1997106
Scouts Guide to the Zombie Apocalypse,2015,15000000,3635292,16379268,3969561
Sisters,2015,30000000,87044645,32758536,95048505
Secret in Their Eyes,2015,19500000,20180155,21293049,22035745
Shaun the Sheep Movie,2015,25000000,19375982,27298780,21157627
Demolition,2015,10000000,1978592,10919512,2160526
Self/less,2015,26000000,12276810,28390731,13405678
Star Wars: The Force Awakens,2015,245000000,936662225,267528047,1022789450
Spy,2015,65000000,110825712,70976829,121016270
San Andreas,2015,110000000,155190832,120114633,169460817
Dragon Blade,2015,65000000,74068,70976829,80879
American Ultra,2015,28000000,14434604,30574634,15761883
Sleeping with Other People,2015,0,814775,0,889695
Sicario,2015,30000000,46889293,32758536,51200820
Steve Jobs,2015,30000000,17750583,32758536,19382771
Tomorrowland,2015,190000000,93436322,207470730,102027905
Slow West,2015,2000000,229094,2183902,250159
Run All Night,2015,50000000,26442251,54597561,28873648
Danny Collins,2015,10000000,5348317,10919512,5840101
Spectre,2015,245000000,200074175,267528047,218471238
Spotlight,2015,20000000,45055776,21839024,49198709
Dope,2015,7000000,17474107,7643658,19080872
Strange Magic,2015,0,12427046,0,13569728
Daddy's Home,2015,50000000,150357137,54597561,164182658
The Good Dinosaur,2015,200000000,123087120,218390242,134405130
The Hunger Games: Mockingjay - Part 2,2015,160000000,281723902,174712194,307628756
Born to Be Blue,2015,0,667476,0,728851
The Hateful Eight,2015,44000000,54117416,48045853,59093578
The Gunman,2015,40000000,10640645,43678048,11619065
Bridge of Spies,2015,40000000,72313754,43678048,78963091
Brooklyn,2015,11000000,38317535,12011463,41840879
The Second Best Exotic Marigold Hotel,2015,10000000,33078266,10919512,36119853
Burnt,2015,20000000,13650738,21839024,14905940
The SpongeBob Movie: Sponge Out of Water,2015,74000000,162994032,80804390,177981531
The Stanford Prison Experiment,2015,0,643557,0,702733
The Family Fang,2015,0,240067,0,262141
Avengers: Age of Ultron,2015,250000000,459005868,272987803,501212013
The Intern,2015,35000000,75764672,38218292,82731325
The Sea of Trees,2015,25000000,20083,27298780,21930
Captive,2015,2000000,2557668,2183902,2792849
The Overnight,2015,0,1100000,0,1201146
The Night Before,2015,25000000,43035725,27298780,46992912
The Meddler,2015,3200000,4265673,3494244,4657907
The Martian,2015,108000000,228433663,117930731,249438415
The Man from U.N.C.L.E.,2015,75000000,45445109,81896341,49623842
The Man Who Knew Infinity,2015,0,3866794,0,4222350
The Longest Ride,2015,34000000,37432299,37126341,40874244
Bajo la arena,2015,0,434640,0,474606
The Lazarus Effect,2015,3300000,25799043,3603439,28171296
The Last Witch Hunter,2015,90000000,27367660,98275609,29884149
Black Mass,2015,53000000,62575678,57873414,68329587
Blackhat,2015,70000000,7097125,76436585,7749714
Blackway,2015,8000000,16458,8735610,17971
The Lady in the Van,2015,6000000,10017675,6551707,10938812
The End of the Tour,2015,0,2993669,0,3268940
Strangerland,2015,10000000,17472,10919512,19079
Tangerine,2015,100000,701837,109195,766372
The Wedding Ringer,2015,23000000,64460211,25114878,70387405
Conspiraci�n y poder,2015,9600000,2541554,10482732,2775253
The Witch,2015,3500000,25138292,3821829,27449788
Terminator Genisys,2015,155000000,89760956,169252438,98014585
Cop Car,2015,800000,128002,873561,139772
Ant-Man,2015,130000000,180202163,141953657,196771970
Ted 2,2015,68000000,81476385,74252682,88968237
Tale of Tales,2015,0,80809,0,88239
The Age of Adaline,2015,25000000,42478175,27298780,46384095
Creed,2015,35000000,109767581,38218292,119860843
Crimenes ocultos,2015,50000000,1206135,54597561,1317041
Anomalisa,2015,8000000,3442820,8735610,3759391
Crimson Peak,2015,55000000,31056945,60057317,33912669
Synchronicity,2015,0,4267,0,4659
Suffragette,2015,14000000,4693356,15287317,5124916
The Dressmaker,2015,0,2021399,0,2207269
Chi-Raq,2015,0,2647377,0,2890807
Carol,2015,11800000,12711491,12885024,13880328
The Diary of a Teenage Girl,2015,2000000,1477002,2183902,1612814
The Danish Girl,2015,15000000,12706393,16379268,13874761
The DUFF,2015,8500000,34017854,9281585,37145837
The D Train,2015,3000000,660994,3275854,721773
Chappie,2015,49000000,31569268,53505609,34472100
The Bronze,2015,3500000,615654,3821829,672264
Cinderella,2015,95000000,201151353,103735365,219647463
The Boy Next Door,2015,4000000,35385560,4367805,38639305
The Blackcoat's Daughter,2015,0,19980,0,21817
The Vatican Tapes,2015,8000000,1712111,8735610,1869542
The Big Short,2015,28000000,70259870,30574634,76720350
The Visit,2015,5000000,65206105,5459756,71201885
The Walk,2015,35000000,10137502,38218292,11069658
Rock the Kasbah,2015,15000000,2982281,16379268,3256505
El gran peque�o,2015,20000000,6420319,21839024,7010675
We Are Your Friends,2015,2000000,3590010,2183902,3920116
Minions,2015,74000000,336045770,80804390,366945585
Alvin and the Chipmunks: The Road Chip,2015,90000000,85886987,98275609,93784399
Goosebumps,2015,58000000,80080379,63333170,87443867
Green Room,2015,5000000,3219029,5459756,3515023
Me and Earl and the Dying Girl,2015,8000000,6743776,8735610,7363874
"McFarland, USA",2015,17000000,44469602,18563171,48558636
