name,month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Doctor Strange,11,0,0,0,0,0,0,0,0,0,0,1,0
Sleight,4,0,0,0,1,0,0,0,0,0,0,0,0
Silence,1,1,0,0,0,0,0,0,0,0,0,0,0
Manchester by the Sea,12,0,0,0,0,0,0,0,0,0,0,0,1
Dirty Grandpa,1,1,0,0,0,0,0,0,0,0,0,0,0
Manos de piedra,8,0,0,0,0,0,0,0,1,0,0,0,0
Jackie,12,0,0,0,0,0,0,0,0,0,0,0,1
Hunt for the Wilderpeople,3,0,0,1,0,0,0,0,0,0,0,0,0
Lady Macbeth,7,0,0,0,0,0,0,1,0,0,0,0,0
Don't Breathe,8,0,0,0,0,0,0,0,1,0,0,0,0
Absolutely Fabulous: The Movie,7,0,0,0,0,0,0,1,0,0,0,0,0
Bad Moms,7,0,0,0,0,0,0,1,0,0,0,0,0
Sing street; este es tu momento,9,0,0,0,0,0,0,0,0,1,0,0,0
Denial,10,0,0,0,0,0,0,0,0,0,1,0,0
Allied,11,0,0,0,0,0,0,0,0,0,0,1,0
Underworld: Blood Wars,1,1,0,0,0,0,0,0,0,0,0,0,0
Ice Age: Collision Course,7,0,0,0,0,0,0,1,0,0,0,0,0
Storks,9,0,0,0,0,0,0,0,0,1,0,0,0
The Purge: Election Year,7,0,0,0,0,0,0,1,0,0,0,0,0
Horizonte profundo,9,0,0,0,0,0,0,0,0,1,0,0,0
Star Trek Beyond,7,0,0,0,0,0,0,1,0,0,0,0,0
Alice Through the Looking Glass,5,0,0,0,0,1,0,0,0,0,0,0,0
Split,1,1,0,0,0,0,0,0,0,0,0,0,0
Deadpool,2,0,1,0,0,0,0,0,0,0,0,0,0
Bleed for This,11,0,0,0,0,0,0,0,0,0,0,1,0
Sola contra el poder,12,0,0,0,0,0,0,0,0,0,0,0,1
Snowden,9,0,0,0,0,0,0,0,0,1,0,0,0
Kung Fu Panda 3,1,1,0,0,0,0,0,0,0,0,0,0,0
Jason Bourne,7,0,0,0,0,0,0,1,0,0,0,0,0
